DATE,OPPONENT,RESULT,MIN,PTS,REB,AST,STL,BLK
Sunday 13 April,vs LAC,L 124-119 OT,38,36,3,6,2,0
Saturday 12 April,@ POR,W 103-86,37,25,6,5,3,0
Thursday 10 April,vs SA,L 114-111,37,30,8,3,2,0
Wednesday 9 April,@ PHX,W 133-95,26,25,9,6,1,1
Monday 7 April,vs HOU,L 106-96,33,3,2,8,0,0
Saturday 5 April,vs DEN,W 118-104,32,36,2,5,2,2
Friday 4 April,@ LAL,W 123-116,34,37,3,6,1,0
Wednesday 3 April,@ MEM,W 134-125,37,52,8,1,5,2
Monday 31 March,@ SA,W 148-106,26,13,3,6,2,1
Saturday 29 March,@ NO,W 111-95,34,23,4,6,3,0
Friday 21 March,vs TOR,W 117-114,25,17,2,1,0,1
Tuesday 18 March,vs DEN,L 114-105,36,20,4,7,3,0
Sunday 16 March,vs NY,W 97-94,35,28,7,5,0,1
Friday 14 March,vs SAC,W 130-104,30,11,4,6,1,0
Tuesday 11 March,vs POR,W 130-120,34,24,2,3,2,0
Sunday 9 March,vs DET,W 115-110,33,32,3,4,1,0
Friday 7 March,@ BKN,W 121-119,36,40,4,4,3,0
Wednesday 5 March,@ NY,W 114-102,33,28,7,9,2,0
Tuesday 4 March,@ CHA,W 119-101,30,21,3,10,1,1
Sunday 2 March,@ PHI,L 126-119,36,29,5,13,2,0
Friday 28 February,@ ORL,W 121-115,34,56,4,3,2,0
Wednesday 26 February,vs CHA,W 128-92,24,15,4,6,1,0
Sunday 23 February,vs DAL,W 126-102,29,30,4,7,3,0
Saturday 22 February,@ SAC,W 132-108,31,20,1,6,0,1
Monday 17 February,vs CHI*,W 41-25,11,12,4,1,2,0
Monday 17 February,vs CAN*,W 42-35,13,8,6,1,0,1
Friday 14 February,@ HOU,W 105-98,35,27,5,3,2,0
Thursday 13 February,@ DAL,L 111-107,37,35,5,8,2,0
Tuesday 11 February,@ MIL,W 125-111,34,38,6,4,0,0
Sunday 9 February,@ CHI,W 132-111,34,34,4,6,1,0
Friday 7 February,@ LAL,L 120-112,37,37,7,4,3,1
Thursday 6 February,@ UTAH,L 131-128,35,32,1,7,2,0
Tuesday 4 February,vs ORL,W 104-99,34,24,1,5,1,0
Tuesday 28 January,vs PHX,W 138-105,31,34,3,5,2,0
Thursday 30 January,vs OKC,W 116-109,33,21,1,4,2,0
Sunday 26 January,vs LAL,L 118-108,32,13,1,9,2,0
Friday 24 January,vs CHI,W 131-106,31,21,4,7,0,0
Thursday 23 January,@ SAC,L 123-117,34,14,3,12,0,0
Monday 20 January,vs BOS,L 125-85,27,18,3,4,2,0
Sunday 19 January,vs WSH,W 132-114,34,29,5,6,1,1
Thursday 16 January,@ MIN,W 116-115,37,31,1,8,1,0
Tuesday 14 January,@ TOR,L 104-101,35,26,7,7,2,0
Friday 10 January,@ DET,W 107-104,36,17,9,6,2,0
Wednesday 8 January,vs MIA,L 114-98,33,31,7,1,2,4
Monday 6 January,vs SAC,L 129-99,30,26,7,0,1,0
Friday 3 January,vs PHI,W 139-105,30,30,6,10,1,0
Tuesday 31 December,vs CLE,L 113-95,29,11,2,3,1,1
Sunday 29 December,vs PHX,W 109-105,35,22,6,6,1,0
Thursday 26 December,vs LAL,L 115-113,36,38,1,6,0,0
Tuesday 24 December,vs IND,L 111-105,35,10,5,7,1,0
Sunday 22 December,vs MIN,W 113-103,34,31,3,10,1,0
Friday 20 December,vs MEM,L 144-93,24,2,3,1,1,0
Monday 16 December,vs DAL,L 143-133,35,26,5,10,1,0
Thursday 12 December,vs HOU,L 91-90,34,19,3,5,2,1
Monday 9 December,vs MIN,W 114-106,35,30,4,8,1,0
Saturday 7 December,vs MIN,L 107-90,32,23,2,4,0,0
Wednesday 4 December,vs DEN,L 119-115,34,24,7,11,0,0
Sunday 1 December,@ PHX,L 113-105,32,23,7,4,0,0
Tuesday 26 November,vs BKN,L 128-120,29,28,4,7,0,0
Sunday 24 November,@ SA,L 104-94,32,14,7,5,1,0
Saturday 23 November,@ NO,W 112-108,33,19,7,7,3,1
Thursday 21 November,vs ATL,W 120-97,30,23,4,8,2,1
Tuesday 19 November,@ LAC,L 102-99,32,26,7,6,1,0
Saturday 16 November,vs MEM,W 123-118,26,13,8,5,2,0
Wednesday 13 November,vs DAL,W 120-117,35,37,6,9,1,2
Monday 11 November,@ OKC,W 127-116,37,36,5,7,2,1
Saturday 9 November,vs CLE,L 136-117,24,12,1,2,0,0
Thursday 7 November,vs BOS,W 118-112,34,27,7,9,4,1
Tuesday 5 November,vs WSH,W 125-112,24,24,3,6,0,0
Monday 28 October,vs LAC,L 112-104,27,18,4,6,2,1
Saturday 26 October,@ UTAH,W 127-86,27,20,3,4,3,2
Thursday 24 October,@ POR,W 140-104,25,17,9,10,0,2
