DATE,OPPONENT,RESULT,MIN,PTS,REB,AST,STL,BLK
Sunday 14 April,@ HOU,W 126-111,31,18,7,7,2,1
Saturday 4 April,vs MEM,W 117-109,41,26,16,13,2,0
Thursday 10 April,@ SAC,W 124-116,38,20,12,11,4,0
Monday 7 April,vs IND,L 125-120,39,41,15,13,2,1
Saturday 5 April,@ GS,L 118-104,37,33,12,9,2,0
Wednesday 2 April,vs MIN,L 140-139 OT,53,61,10,10,2,0
Saturday 29 March,vs UTAH,W 129-93,32,27,14,6,4,0
Thursday 27 March,vs MIL,W 127-117,38,39,10,10,0,0
Sunday 16 March,vs WSH,L 126-123,39,40,13,9,1,2
Saturday 15 March,vs LAL,W 131-126,38,28,7,5,3,1
Thursday 13 March,vs MIN,L 115-95,38,34,8,4,1,0
Tuesday 11 March,@ OKC,W 140-127,40,35,18,8,1,1
Sunday 9 March,@ OKC,L 127-103,41,24,13,9,1,3
Saturday 8 March,vs PHX,W 149-141 OT,45,31,21,22,3,0
Thursday 6 March,vs SAC,W 116-110,38,22,15,6,1,0
Sunday 2 March,@ BOS,L 110-103,39,20,14,9,2,0
Saturday 1 March,@ DET,W 134-119,34,23,17,15,1,2
Friday 28 February,@ MIL,L 121-112,38,32,14,10,1,0
Tuesday 25 February,@ IND,W 125-116,39,18,9,19,3,1
Sunday 23 February,vs LAL,L 123-100,35,12,13,10,1,0
Friday 21 February,vs CHA,W 129-115,37,29,17,9,1,1
Monday 17 February,vs SHQ*,L 41-25,10,2,4,2,0,0
Monday 17 February,vs KEN*,W 41-32,6,2,1,3,0,0
Thursday 13 February,vs POR,W 132-121,36,26,15,10,2,0
Tuesday 11 February,vs POR,W 146-117,31,40,7,8,3,1
Sunday 9 February,@ PHX,W 122-105,29,26,11,9,0,0
Friday 7 February,vs ORL,W 112-90,31,28,10,12,2,0
Thursday 6 February,vs NO,W 144-119,36,38,8,10,1,1
Tuesday 4 February,vs NO,W 125-113,36,27,14,10,1,2
Sunday 2 February,@ CHA,W 107-104,37,28,13,17,4,1
Saturday 1 February,@ PHI,W 137-134,37,28,9,13,2,0
Thursday 30 January,@ NY,L 122-112,33,17,6,6,2,1
Tuesday 28 January,@ CHI,L 129-121,40,33,12,14,1,1
Saturday 25 January,@ MIN,L 133-104,32,20,3,11,0,0
Friday 24 January,vs SAC,W 132-123,37,35,22,17,1,2
Wednesday 22 January,vs PHI,W 144-109,30,27,13,10,4,1
Sunday 19 January,@ ORL,W 113-100,30,20,14,10,3,3
Saturday 18 January,@ MIA,W 133-113,31,24,12,10,1,0
Wednesday 15 January,@ DAL,W 118-99,29,10,14,10,2,0
Sunday 12 January,@ DAL,W 112-101,39,19,18,9,3,0
Saturday 11 January,vs BKN,W 124-105,38,35,12,15,4,0
Sunday 5 January,@ SA,W 122-111 OT,43,46,9,10,2,2
Saturday 4 January,vs SA,L 113-110,37,41,18,9,2,0
Thursday 2 January,vs ATL,W 139-120,30,23,17,15,0,1
Tuesday 31 December,@ UTAH,W 132-121,38,36,22,11,4,0
Sunday 29 December,vs DET,W 134-121,37,37,9,8,0,0
Saturday 28 December,vs CLE,L 149-135,36,27,14,13,3,0
Thursday 26 December,@ PHX,L 110-100,38,25,15,2,2,0
Tuesday 24 December,vs PHX,W 117-90,30,32,2,7,0,0
Monday 23 December,vs NO,W 132-129 OT,43,27,13,10,1,1
Friday 20 December,@ POR,L 126-124,37,34,6,8,1,0
Tuesday 17 December,@ SAC,W 130-129,38,20,14,13,2,1
Saturday 14 December,vs LAC,W 120-98,30,16,7,2,2,0
Sunday 8 December,@ ATL,W 141-111,35,48,14,8,3,0
Sunday 8 December,@ WSH,L 122-113,39,56,16,8,1,0
Friday 6 December,@ CLE,L 126-114,39,27,20,11,3,0
Wednesday 4 December,@ GS,W 119-115,40,38,10,6,5,1
Monday 2 December,@ LAC,L 126-122,39,28,14,11,1,1
Thursday 28 November,@ UTAH,W 122-103,34,30,10,7,1,1
Tuesday 26 November,vs NY,L 145-118,32,22,7,7,1,0
Sunday 24 November,vs LAL,W 127-102,37,34,13,8,2,1
Saturday 23 November,vs DAL,L 123-120,39,33,17,10,0,0
Monday 11 November,vs DAL,W 122-120,38,37,18,15,3,0
Saturday 9 November,vs MIA,W 135-122,40,30,11,14,2,0
Thursday 7 November,vs OKC,W 124-122,39,23,20,16,2,2
Tuesday 5 November,vs TOR,W 121-119,38,28,14,13,1,2
Sunday 3 November,vs UTAH,W 129-103,30,27,16,9,1,0
Saturday 2 November,@ MIN,L 119-116,40,26,9,13,3,1
Tuesday 29 October,@ BKN,W 144-139 OT,41,29,18,16,0,1
Monday 28 October,@ TOR,W 127-125 OT,44,40,10,4,1,2
Saturday 26 October,vs LAC,L 109-104,37,41,9,4,2,1
Friday 25 October,vs OKC,L 102-87,35,16,12,13,2,1
