DATE,OPPONENT,RESULT,MIN,PTS,REB,AST,STL,BLK
Saturday 12th April,vs HOU,W 140-109,22,14,4,8,1,0
Thursday 10th April,@ DAL,W 112-97,36,27,7,3,1,0
Wednesday 9th April,@ OKC,L 136-120,35,28,7,3,1,0
Sunday 6th April,@ OKC,W 126-99,34,19,3,7,1,0
Saturday 5th April,vs NO,W 124-108,33,27,0,8,2,0
Friday 4th April,vs GS,L 123-116,40,33,5,9,1,1
Tuesday 1st April,vs HOU,W 104-98,38,16,8,4,2,2
Sunday 30th March,@ MEM,W 134-127,37,25,6,8,3,1
Friday 28th March,@ CHI,L 119-117,39,17,5,12,2,0
Wednesday 26th March,@ IND,W 120-119,38,13,13,7,1,0
Monday 24th March,@ ORL,L 118-106,38,24,6,7,0,0
Sunday 23rd March,vs CHI,L 146-115,31,17,6,4,3,0
Sunday 9th March,@ BOS,L 111-101,35,22,14,9,0,0
Friday 7th March,vs NY,W 113-109 OT,44,31,12,8,0,1
Wednesday 5th March,vs NO,W 136-115,33,34,8,6,1,2
Monday 3rd March,vs LAC,W 108-102,36,17,5,9,2,1
Saturday 1st March,vs LAC,W 106-102,37,28,13,3,1,0
Friday 28th February,vs MIN,W 111-102,37,33,17,6,1,1
Wednesday 26th February,vs DAL,W 107-99,37,27,12,3,1,0
Sunday 23rd February,@ DEN,W 123-100,33,25,9,5,1,3
Friday 21st February,@ POR,W 110-102,36,40,8,4,2,1
Thursday 20th February,vs CHA,L 100-97,38,26,7,11,1,2
Thursday 13th February,@ UTAH,L 131-119,34,18,6,7,1,0
Tuesday 11th February,vs UTAH,W 132-113,29,24,7,8,1,0
Friday 7th February,vs GS,W 120-112,38,42,17,8,1,1
Wednesday 5th February,@ LAC,W 122-97,31,26,8,9,3,0
Sunday 2nd February,@ NY,W 128-112,37,33,11,12,0,0
Friday 31st January,@ WSH,W 134-96,27,24,3,11,0,0
Wednesday 29th January,@ PHI,L 118-104,33,31,8,9,1,0
Tuesday 28th January,@ CHA,W 112-107,36,22,7,8,0,0
Sunday 26th January,@ GS,W 118-108,35,25,5,12,1,0
Friday 24th January,vs BOS,W 117-96,31,20,14,6,0,0
Wednesday 22nd January,vs WSH,W 111-88,36,21,10,13,2,1
Monday 20th January,@ LAC,L 116-102,35,25,5,11,3,1
Saturday 18th January,vs BKN,W 102-101,35,29,7,8,1,2
Thursday 16th January,vs MIA,W 117-108,38,22,5,9,2,0
Tuesday 14th January,vs SA,L 126-102,32,18,5,8,1,1
Wednesday 8th January,@ DAL,L 118-97,35,18,10,8,1,0
Monday 6th January,@ HOU,L 119-115,36,21,13,9,1,0
Saturday 4th January,vs ATL,W 119-102,30,30,3,8,0,0
Friday 3rd January,vs POR,W 114-106,36,38,3,8,0,0
Wednesday 1st January,vs CLE,L 122-110,34,23,4,7,0,1
Thursday 26th December,@ GS,W 115-113,37,31,4,10,2,1
Tuesday 24th December,vs DET,L 117-114,35,28,11,11,0,0
Saturday 21st December,@ SAC,W 103-99,34,32,7,6,4,0
Friday 20th December,@ SAC,W 113-100,34,19,6,7,0,1
Monday 16th December,vs MEM,W 116-110,34,18,8,8,1,2
Saturday 7th December,@ ATL,L 134-132 OT,43,39,10,11,2,3
Thursday 5th December,@ MIA,L 134-93,29,29,5,8,1,0
Tuesday 3rd December,@ MIN,L 109-80,31,10,8,4,0,0
Monday 2nd December,@ UTAH,W 105-104,36,27,5,14,0,2
Saturday 30th November,vs OKC,L 101-93,34,12,8,6,0,0
Thursday 28th November,@ SA,W 119-101,33,16,10,11,1,1
Wednesday 27th November,@ PHX,L 127-100,35,18,8,10,0,0
Sunday 24th November,vs DEN,L 127-102,35,18,6,7,3,0
Friday 22nd November,vs ORL,L 119-118,37,31,10,7,0,1
Wednesday 20th November,vs UTAH,W 124-118,34,26,2,12,0,0
Sunday 17th November,@ NO,W 104-99,37,21,7,5,1,0
Saturday 16th November,@ SA,W 120-115,38,15,16,12,1,0
Thursday 14th November,vs MEM,W 128-123,37,35,12,14,1,0
Monday 11th November,vs TOR,W 123-103,35,19,10,16,1,0
Saturday 9th November,vs PHI,W 116-106,34,21,12,13,0,3
Thursday 7th November,@ MEM,L 131-114,35,39,7,6,1,0
Tuesday 5th November,@ DET,L 115-103,40,20,8,11,2,0
Friday 1st November,@ TOR,W 131-125,36,27,6,10,1,0
Wednesday 30th October,@ CLE,L 134-110,29,26,6,3,0,0
Tuesday 29th October,@ PHX,L 109-105,36,11,5,8,1,0
Sunday 27th October,vs SAC,W 131-127,34,32,14,10,0,1
Saturday 26th October,vs PHX,W 123-116,35,21,4,8,0,0
Wednesday 23rd October,vs MIN,W 110-103,35,16,5,4,0,2
