DATE,OPPONENT,RESULT,MIN,PTS,REB,AST,STL,BLK
Sunday 19 April,vs MEM,W 131-80,23,15,3,5,0,2
Tuesday 23 April,vs MEM,W 118-99,38,27,7,5,2,0
Thursday 25 April,@ MEM,W 114-108,40,31,4,8,1,1
Saturday 27 April,@ MEM,W 117-115,38,38,5,6,2,1
Thursday 11 April,vs SAS,W 127-89,29,31,3,7,2,2
Tuesday 9 April,vs SAC,W 112-105,38,40,5,5,3,0
Sunday 7 April,@ CHA,W 121-118,37,33,7,5,2,1
Friday 5 April,@ IND,W 126-112,32,37,4,8,1,0
Wednesday 3 April,vs BOS,W 127-123,37,36,7,8,0,0
Sunday 31 March,vs NY,W 121-111,36,38,9,9,1,1
Saturday 30 March,vs HOU,W 109-93,33,31,5,4,1,0
Wednesday 27 March,vs DAL,W 119-106,34,31,6,5,3,1
Monday 25 March,vs MEM,W 121-111,36,29,4,8,2,0
Saturday 23 March,@ MIL,W 125-107,33,31,5,5,1,0
Thursday 21 March,@ TOR,W 123-103,32,23,5,8,0,0
Tuesday 19 March,vs NO,W 119-112,37,36,6,5,4,0
Saturday 16 March,@ MEM,W 118-108,33,30,4,8,0,0
Thursday 14 March,vs DAL,W 126-119,37,31,5,5,0,0
Tuesday 12 March,vs MIA,W 121-114,38,37,7,6,2,1
Sunday 10 March,vs MEM,W 124-93,31,34,6,9,3,1
Friday 8 March,vs MIA,W 107-101,36,23,5,5,1,1
Wednesday 6 March,vs POR,W 128-114,35,37,8,5,1,1
Monday 4 March,@ LAL,W 134-127,36,33,5,7,1,0
Saturday 2 March,vs PHX,L 132-122,34,30,7,7,0,1
Thursday 29 February,vs LAC,W 129-128,31,33,5,9,1,1
Tuesday 27 February,@ HOU,W 112-95,35,31,8,6,3,1
Sunday 25 February,vs HOU,W 111-95,33,31,3,6,1,1
Thursday 22 February,vs LAC,L 129-127 OT,41,30,5,9,0,0
Wednesday 14 February,vs LAC,W 129-107,31,31,2,5,1,2
Monday 12 February,vs SAC,W 128-117,36,38,7,4,0,0
