DATE,OPPONENT,RESULT,MIN,PTS,REB,AST,STL,BLK
Tuesday 30 April,vs ORL,W 120-89,34,35,8,10,1,0
Sunday 28 April,@ ORL,W 107-98,42,37,14,3,3,0
Friday 26 April,@ ORL,L 95-93,39,36,9,4,1,1
Wednesday 24 April,vs ORL,W 96-94,38,27,7,6,2,0
Monday 22 April,vs ORL,W 114-84,32,23,5,6,1,1
Sunday 14 April,vs WAS,W 132-122,35,32,8,10,3,1
Friday 12 April,@ CHA,W 131-98,29,27,7,8,0,1
Wednesday 10 April,vs NYK,W 132-109,37,41,14,5,1,1
Monday 8 April,vs POR,W 124-107,32,26,11,9,1,0
Saturday 6 April,vs SAC,W 101-100,38,31,8,9,2,1
Thursday 4 April,@ DET,W 129-102,30,25,6,10,1,0
Tuesday 2 April,vs OKC,W 135-100,33,35,9,7,2,1
Sunday 31 March,@ ATL,W 130-118,36,30,12,8,1,1
Friday 29 March,@ ATL,W 123-106,33,27,8,7,3,0
Wednesday 27 March,vs ATL,W 125-117,35,29,8,8,2,1
Monday 25 March,@ ATL,W 123-106,32,28,5,6,1,0
Saturday 23 March,vs CHI,L 120-118 OT,40,26,9,10,0,1
Thursday 21 March,@ MIL,W 122-119 OT,43,31,10,8,0,0
Tuesday 19 March,@ MIL,W 122-119,37,32,8,7,1,0
Sunday 17 March,@ WAS,W 130-104,31,30,9,6,2,1
Friday 15 March,vs PHX,W 127-112,34,29,10,8,0,0
Wednesday 13 March,@ UTA,W 123-107,33,27,7,6,3,1
Monday 11 March,@ POR,W 128-94,29,27,5,7,2,0
Saturday 9 March,@ PHX,L 122-114,37,35,9,5,1,1
Thursday 7 March,@ DEN,W 115-109,38,34,11,8,3,1
Tuesday 5 March,vs CLE,W 116-107,35,25,8,11,1,0
Sunday 3 March,vs GSW,W 140-88,27,22,7,5,0,1
Friday 1 March,vs DAL,W 138-110,35,32,10,8,1,0
Wednesday 28 February,vs PHI,W 117-99,31,28,8,9,1,0
Monday 26 February,vs NYK,W 116-102,36,35,7,6,1,0
