DATE,OPPONENT,RESULT,MIN,PTS,REB,AST,STL,BLK
Sunday 13 April,vs TOR,L 125-118,32,27,14,5,1,3
Friday 11 April,@ OKC,L 127-89,26,18,7,3,0,4
Wednesday 9 April,vs LAL,L 130-126 OT,40,30,13,6,1,5
Monday 7 April,@ POR,L 107-104,33,21,16,5,2,6
Saturday 6 April,vs PHI,W 120-116,35,33,13,7,2,4
Thursday 4 April,vs UTA,W 118-111,31,32,15,4,3,5
Tuesday 2 April,@ DEN,L 110-105,33,23,12,5,2,4
Sunday 31 March,@ GSW,L 112-102,34,27,14,3,0,1
Friday 29 March,vs NY,W 130-126 OT,42,40,20,7,1,2
Wednesday 27 March,@ UTA,W 113-94,30,35,15,6,1,4
Monday 25 March,vs PHX,L 124-121,38,38,10,4,1,2
Sunday 24 March,vs BKN,W 107-103,31,33,15,7,3,7
Friday 22 March,vs MEM,L 102-99,37,31,16,5,0,2
Wednesday 20 March,@ MIN,L 114-105,32,27,12,5,0,4
Monday 18 March,@ WAS,W 117-113,33,25,15,4,2,4
Saturday 16 March,@ HOU,L 121-112,36,30,11,2,1,5
Friday 15 March,vs DEN,L 117-106,35,17,12,5,2,4
Wednesday 13 March,vs ATL,W 121-118,38,36,12,7,3,3
Monday 11 March,vs GSW,L 112-102,35,27,12,4,4,3
Sunday 10 March,vs BKN,W 106-95,30,31,14,6,4,6
Thursday 7 March,@ SAC,L 131-129,37,26,12,4,3,6
Tuesday 5 March,@ HOU,W 114-101,34,31,12,4,1,7
Sunday 3 March,vs IND,L 117-105,32,31,12,6,0,5
Thursday 29 February,vs OKC,L 127-89,27,14,7,0,1,4
Tuesday 27 February,@ MIN,L 113-107,31,24,12,4,0,8
Monday 26 February,@ UTA,W 118-111,33,35,10,5,2,2
Saturday 24 February,vs OKC,L 123-111,30,28,13,7,0,5
Thursday 22 February,vs LAC,L 131-119,34,29,8,5,3,3
Wednesday 14 February,@ DAL,L 116-93,31,26,10,2,1,1
Monday 12 February,vs TOR,W 122-115,29,27,14,5,1,5
